Command.random.obtain.name,obtain,
Command.random.rate.desc,Rate a url of the random pool,
Command.random.rate.name,rate,
Command.random.submit.desc,"Gets a random url that other users have added, or add one yourself",
Command.random.submit.name,submit,
Command.random.top.desc,"The top rated random urls by yourself, this server or the bot",
Command.random.top.name,top,
Command.recent.desc,Returns your most recent songs played,
Command.recent.name,recent,
Command.rym.artistratings.desc,A list of albums rated of an artist in this server,
Command.rym.artistratings.name,artistratings,
Command.rym.chart.desc,Image of top rated albums for a user|server|bot,
Command.rym.chart.name,chart,
Command.rym.curve.desc,Your rym curve,
Command.rym.curve.name,curve,
Command.rym.desc,"Testing command about a RYM integration, possibly broken",
Command.rym.name,rym,
Command.rym.rating.desc,Album Ratings of users that were uploaded to RYM,
Command.rym.rating.name,rating,
Command.rym.ratings.desc,Your RYM Ratings,
Command.rym.ratings.name,ratings,
Command.rym.rymimport.desc,Load you rym rating into the bot. Read the help message for info about how to do it,
Command.rym.rymimport.name,rymimport,
Command.rym.rymserver.desc,Top Ranked Albums according to all bot users,
Command.rym.rymserver.name,rymserver,
Command.rym.rymtop.desc,Top Ranked Albums according to all bot users,
Command.rym.rymtop.name,rymtop,
Command.rym.unrated.desc,List your top unrated rym albums,
Command.rym.unrated.name,unrated,
Command.rymsearch.desc,Searches in rateyourmusic inputted query or now playing album,
Command.rymsearch.name,rymsearch,
Command.server-config.censor-covers.desc,Whether you want the bot to censor potentially nsfw album covers.,
Command.server-config.censor-covers.name,censor-covers,
Command.server-config.chart.desc,"Set the mode for all charts of all users in this server. While this is set any user configuration will be overridden.
		The possible values for the chart mode are the following:
			**Image**: Using the standard image format
			**Image-info**: Adds additional info to better identify the user of the chart
			**Image-aside**: Shows titles on the side of the chart
			**Image-aside-info**: Image Info and Aside Together
			**List**: Shows it on a embed
			**Pie**: Shows using a pie chart
			**Clear**: Sets the default mode",
Command.server-config.chart.name,chart,
Command.server-config.color.desc,"Set the color for all embed of all users in this server. While this is set any user configuration will be overridden.
		The possible values for the embed colour are the following:
			**Random**: Uses a random colour
			**Role**: Uses the color of your role in a server
			**Colours**: Uses user defined colours",
Command.server-config.color.name,color,
Command.server-config.crowns.desc,A positive number that represent the minimum number of scrobbles for a crown to count,
Command.server-config.crowns.name,crowns,
Command.server-config.delete-message.desc,Whether you want the bot to delete the original message the user wrote.,
Command.server-config.delete-message.name,delete-message,
Command.server-config.desc,server configuration,
Command.server-config.disabled-warning.desc,Whether you want the bot to show a warning when you try to run a disabled command.,
Command.server-config.disabled-warning.name,disabled-warning,
Command.server-config.list.desc,List all the server configs,
Command.server-config.list.name,list,
Command.server-config.name,server-config,
Command.server-config.np-reactions.desc,Whether you want the bot to add reactions to nps in this server.,
Command.server-config.np-reactions.name,np-reactions,
Command.server-config.override-color.desc,"Whether you want the server color to override the users colors or only use them when the user doesnt have any.
		The possible values for the color mode are the following:
			**Override**: Override all colors with the server colors
			**Empty**: Only overrides if the user doesnt have any color set",
Command.server-config.override-color.name,override-color,
Command.server-config.override-reactions.desc,"Whether you want the server reactions to override the users reactions, add to the user added or only use them when the user doesnt have any.
		The possible values for the override np mode are the following:
			**Override**: Override all reactions with the server reactions
			**Add**: Adds server reactions before the user reactions
			**Add-End**: Adds server reactions after the user reactions
			**Empty**: Only overrides if the user doesnt have any reaction set",
Command.server-config.override-reactions.name,override-reactions,
Command.server-config.rest.desc,"Set the mode for all charts of the remaining images of the users in this server. While this is set any user configuration will be overridden
		The possible values for the rest of the commands are the following:
			**Image**: Using the standard image format
			**List**: Shows it on a embed
			**Pie**: Shows using a pie chart
			**Clear**: Sets the default mode",
Command.server-config.rest.name,rest,
Command.server-config.set-on-join.desc,Whether the bot should automatically set all known users when they join your server.,
Command.server-config.set-on-join.name,set-on-join,
